Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,capital_accounts,inventories_net,capital_accounts_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
1,957193458000.0,197039572000.0,1.214106307e+12,542677574000.0,1.0467456655e+13,304131610000.0,1.2737737269e+13,1.743125198e+12,5.313571562e+12,3.216140313e+12
11,55465705000.0,5847864000.0,46052450000.0,26758378000.0,60923699000.0,11290746000.0,107284554000.0,72483123000.0,111736099000.0,64519540000.0
111,24333867000.0,1546418000.0,27661058000.0,13964051000.0,18972276000.0,2657675000.0,26807329000.0,37593808000.0,53881220000.0,37138152000.0
1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
