"Page: 115  March 10, 2016"
""
"L.210 Treasury Securities (1)"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"Federal government; Treasury securities; liability","10504.4","11642.0","12822.9","13680.6","14416.7","15141.1","14416.7","14434.9","14353.4","14376.7","15141.1","1"
"Federal government; marketable Treasury securities; liability","8822.7","9906.1","11027.9","11834.2","12480.9","13169.0","12480.9","12606.7","12670.7","12812.8","13169.0","2"
"Federal government; Treasury bills; liability","1768.9","1519.5","1626.5","1590.6","1456.7","1511.0","1456.7","1476.5","1393.2","1355.2","1511.0","3"
"Federal government; other marketable Treasury securities; liability","7043.5","8378.2","9394.4","10228.6","11010.6","11643.0","11010.6","11116.6","11265.2","11445.3","11643.0","4"
"Federal government; long-term marketable Treasury securities issued to the Civil Service Retirement Fund through the Federal Financing Bank; liability","10.2","8.4","7.1","15.0","13.6","15.0","13.6","13.6","12.3","12.3","15.0","5"
"Federal government; nonmarketable Treasury securities; liability","1681.7","1735.9","1795.0","1846.5","1935.8","1972.1","1935.8","1828.2","1682.7","1563.9","1972.1","6"
"Federal government; U.S. savings securities; liability","188.0","185.3","182.5","179.2","176.0","171.6","176.0","175.0","174.0","172.8","171.6","7"
"State and local governments, excluding employee retirement funds; State and local government series securities (SLGS); asset","192.9","152.1","162.6","120.6","116.5","75.2","116.5","117.9","99.8","78.1","75.2","8"
"Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan G Fund; asset","124.8","147.7","158.5","172.7","191.3","206.9","191.3","131.7","68.6","0.0","206.9","9"
"Federal government defined benefit retirement funds; nonmarketable Treasury securities; asset","1132.7","1205.2","1247.0","1337.3","1407.5","1481.8","1407.5","1358.7","1295.3","1271.9","1481.8","10"
"Federal government; other nonmarketable Treasury securities; liability","43.4","45.6","44.4","36.6","44.6","36.5","44.6","44.9","45.1","41.0","36.5","11"
"All sectors; Treasury securities; asset","10504.4","11642.0","12822.9","13680.6","14416.7","15141.1","14416.7","14434.9","14353.4","14376.7","15141.1","12"
"Households and nonprofit organizations; Treasury securities; asset","1129.2","708.2","913.8","975.9","874.0","1271.7","874.0","864.7","976.7","1121.9","1271.7","13"
