BEA,NAICS
110C,111.112
113F,113.114.115
2110,211
2120,212
2130,213
2200,22
2300,23
3210,321
3270,327
3310,331
3320,332
3330,333
3340,334
3350,335
336M,3361.3362.3363
336O,3364.3365.3366.3367.3368.3369
3370,337
338A,339
311A,311312
313T,313.314
315A,315.316
3220,322
3230,323
3240,324
3250,325
3260,326
4200,42
44RT,44-45
4810,481
4820,482
4830,483
4840,484
4850,485
4860,486
487S,487.488.492
4930,493
5110,511
5120,512
5130,515.517
5140,518.519
5210,521
5220,522
5230,523
5240,524
5250,525
5310,531
5320,532533
5411,5411
5415,5415
5412,5412.5413.5414.5416.5417.5418.5419
5500,55
5610,561
5620,562
6100,61
6210,621
622H,622
6230,623
6240,624
711A,711.712
7130,713
7210,721
7220,722
8100,81
