Asset,Tax_rate
Mainframes,0.479046123503
PCs,0.479046123503
DASDs,0.479046123503
Printers,0.479046123503
Terminals,0.479046123503
Tape drives,0.479046123503
Storage devices,0.479046123503
System integrators,0.479046123503
Communications,0.339244799302
Nonelectro medical instruments,0.479046123503
Electro medical instruments,0.479046123503
Nonmedical instruments,0.479046123503
Photocopy and related equipment,0.479046123503
Office and accounting equipment,0.339244799302
Nuclear fuel,0.479046123503
Other fabricated metals,0.339244799302
Steam engines,0.0955363199031
Internal combustion engines,0.130818187065
Metalworking machinery,0.339244799302
Special industrial machinery,0.805569876249
General industrial equipment,0.479046123503
Electric transmission and distribution,0.0955363199031
Light trucks (including utility vehicles),0.479046123503
"Other trucks, buses and truck trailers",0.479046123503
Autos,0.479046123503
Aircraft,0.479046123503
Ships and boats,0.234567412954
Railroad equipment,0.339244799302
Household furniture,0.479046123503
Other furniture,0.339244799302
Other agricultural machinery,0.339244799302
Farm tractors,0.339244799302
Other construction machinery,0.479046123503
Construction tractors,0.805569876249
Mining and oilfield machinery,0.339244799302
Service industry machinery,0.479046123503
Household appliances,0.479046123503
Other electrical,0.479046123503
Other,0.479046123503
Office,0.0360457480499
Hospitals,0.0349971675098
Special care,0.0349971675098
Medical buildings,0.0349971675098
Multimerchandise shopping,0.0360457480499
Food and beverage establishments,0.339244799302
Warehouses,0.0360457480499
Mobile structures,0.479046123503
Other commercial,0.0360457480499
Manufacturing,0.0360457480499
Electric,0.149573240622
Wind and solar,0.479046123503
Gas,0.339244799302
Petroleum pipelines,0.339244799302
Communication,0.479046123503
Petroleum and natural gas,0.339244799302
Mining,0.339244799302
Religious,0.0551984368413
Educational and vocational,0.0349971675098
Lodging,0.0360457480499
Amusement and recreation,0.339244799302
Air transportation,0.0360457480499
Other transportation,0.0360457480499
Other railroad,0.0955363199031
Track replacement,0.339244799302
Local transit structures,0.0360457480499
Other land transportation,0.479046123503
Farm,0.0955363199031
Water supply,0.0955363199031
Sewage and waste disposal,0.0955363199031
Public safety,0.0360457480499
Highway and conservation and development,0.130818187065
Prepackaged software,0.805569876249
Custom software,0.805569876249
Own account software,0.805569876249
Pharmaceutical and medicine manufacturing,0.479046123503
"Chemical manufacturing, ex. pharma and med",0.479046123503
Semiconductor and other component manufacturing   ,0.479046123503
Computers and peripheral equipment manufacturing,0.479046123503
Communications equipment manufacturing ,0.479046123503
Navigational and other instruments manufacturing,0.479046123503
"Other computer and electronic manufacturing, n.e.c.",0.479046123503
Motor vehicles and parts manufacturing ,0.339244799302
Aerospace products and parts manufacturing,0.339244799302
Other manufacturing,0.339244799302
Scientific research and development services,0.0268854509915
Software publishers,0.0268854509915
Financial and real estate services,0.0268854509915
Computer systems design and related services,0.0268854509915
"All other nonmanufacturing, n.e.c.",0.0268854509915
Private universities and colleges,0.0268854509915
Other nonprofit institutions,0.0268854509915
Theatrical movies,0.0268854509915
Long-lived television programs,0.0268854509915
Books,0.0268854509915
Music,0.0268854509915
Other entertainment originals,0.0268854509915
