,Asset Type,delta,z_c,z_c_d,z_c_e,z_nc,rho_c,rho_c_d,rho_c_e,rho_nc,metr_c,metr_c_d,metr_c_e,metr_nc,mettr_c,mettr_c_d,mettr_c_e,mettr_nc
21,Electric transmission and distribution,0.05,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0890461112573,0.0543893343107,0.113783143581,0.0835862863777,0.287560129194,0.00715828416761,0.384794638321,0.269223025028,0.366495512969,0.174621864647,0.43386975732,0.315882036259
22,Light trucks (including utility vehicles),0.1925,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.082036963089,0.0510917271233,0.103935002666,0.0786417043067,0.226690047861,-0.0569225790635,0.326502158038,0.223275562925,0.312369584269,0.121349583112,0.380227285936,0.272868250536
23,"Other trucks, buses and truck trailers",0.1725,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0806339987647,0.0501344991863,0.102240907225,0.077670893172,0.213235099686,-0.0771026115039,0.31534253852,0.213567257776,0.300405388565,0.104573336424,0.369957872665,0.263779806076
24,Autos,0.3333,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0919138319326,0.0578306118001,0.115861434572,0.0854762146947,0.309788323845,0.0662384796019,0.395830025251,0.285380924665,0.386260915815,0.2237369459,0.444024848075,0.331008278296
25,Aircraft,0.0859,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0745591632401,0.0459897022189,0.0949054739644,0.073467280959,0.149132081919,-0.174175900139,0.262423998575,0.168569563063,0.243404719383,0.0238734940546,0.321260660762,0.221655146523
26,Ships and boats,0.0611,0.764483589149,0.834024816605,0.721587762614,0.75965221692,0.0792914621348,0.0485344756085,0.101353762327,0.076789585247,0.199913858416,-0.112611176344,0.309349762723,0.204541432125,0.288560085595,0.0750540358456,0.364443142417,0.255330265824
27,Railroad equipment,0.0589,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0753643457084,0.046215281311,0.0962396596201,0.0740476201209,0.158222639582,-0.168444689034,0.272649131591,0.175085797375,0.251488080949,0.0286380161928,0.330670131805,0.22775532907
28,Household furniture,0.1375,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.078178811197,0.0484593502965,0.0992762402028,0.0759719736864,0.188526929117,-0.114336029469,0.294896746119,0.195980694665,0.27843478085,0.0736201153797,0.351143047349,0.24731611858
29,Other furniture,0.1179,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0809248806415,0.0500602254084,0.102894740439,0.0778916051132,0.216063100779,-0.0787006962002,0.319693118412,0.215795676318,0.302920058862,0.103244802232,0.373961405474,0.265865943444
30,Other agricultural machinery,0.1179,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0809248806415,0.0500602254084,0.102894740439,0.0778916051132,0.216063100779,-0.0787006962002,0.319693118412,0.215795676318,0.302920058862,0.103244802232,0.373961405474,0.265865943444
31,Farm tractors,0.1452,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0834978061276,0.0518393266603,0.105974125293,0.0796702625757,0.240219558547,-0.0416801968488,0.33946140337,0.233303223392,0.324400081266,0.134021017854,0.392152768323,0.282255659958
32,Other construction machinery,0.155,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0794064049808,0.0492969247414,0.100758573714,0.0768214334292,0.201072004011,-0.0954030151635,0.305270038867,0.204871208703,0.28958991346,0.0893596796975,0.360688859376,0.255638986663
33,Construction tractors,0.1633,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0743091688578,0.0461746746847,0.0941852160706,0.0732679920412,0.146269552262,-0.169472234915,0.256783570497,0.166308072508,0.240859346144,0.027783787478,0.316070171349,0.21953804874
34,Mining and oilfield machinery,0.15,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0839501886306,0.0521521356716,0.106515555597,0.0799829935581,0.244313788512,-0.03543218901,0.342818993828,0.23630098361,0.328040687527,0.139215168117,0.395242522768,0.285062017692
35,Service industry machinery,0.1528,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0792520789051,0.0491916296683,0.100572223215,0.0767146442044,0.199516266621,-0.0977477339968,0.30398277216,0.203764364135,0.288206545323,0.0874104468765,0.359504278326,0.254602812456
36,Household appliances,0.165,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.080107887143,0.0497755387099,0.101605621434,0.0773068389966,0.208067991024,-0.0848702274166,0.311061740367,0.209863780473,0.295810774119,0.098115891863,0.366018555084,0.260312790231
37,Other electrical,0.1834,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0813986143214,0.050656188412,0.10316418924,0.0781999852404,0.220625553287,-0.0660099327021,0.321469974073,0.21888817088,0.306977010549,0.113795002274,0.375596520818,0.268760986878
38,Other,0.1473,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0788662637159,0.0489283919856,0.100106346969,0.0764476711424,0.195600285713,-0.103653682628,0.300743637946,0.200983723958,0.284724438863,0.0825006603607,0.356523530835,0.251999711974
39,Office,0.0247,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105847719605,0.0669406645263,0.132263516924,0.0950997146315,0.400648400957,0.193315447611,0.470753525778,0.357695932685,0.467054073106,0.329379717783,0.512971678155,0.398706081769
40,Hospitals,0.0188,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.102735772945,0.0640247781579,0.129113308372,0.0929904432936,0.382493573745,0.156576538746,0.457840551972,0.343126762871,0.450910725475,0.298837596506,0.5010887762,0.385067131546
41,Special care,0.0188,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.102735772945,0.0640247781579,0.129113308372,0.0929904432936,0.382493573745,0.156576538746,0.457840551972,0.343126762871,0.450910725475,0.298837596506,0.5010887762,0.385067131546
42,Medical buildings,0.0247,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105847719605,0.0669406645263,0.132263516924,0.0950997146315,0.400648400957,0.193315447611,0.470753525778,0.357695932685,0.467054073106,0.329379717783,0.512971678155,0.398706081769
43,Multimerchandise shopping,0.0262,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.106638892484,0.0676819915691,0.133064417403,0.0956359700564,0.405095096899,0.20215113728,0.473939003633,0.36129749641,0.471008093574,0.336725083058,0.515903049471,0.402077691065
44,Food and beverage establishments,0.0262,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0722824899064,0.0440842699214,0.0925511656746,0.0719171403031,0.122332392228,-0.224926716408,0.243661606099,0.150648465013,0.219574324193,-0.0183171325397,0.303994950046,0.204878283641
45,Warehouses,0.0222,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.104529098139,0.0657051194549,0.130928682792,0.09420595559,0.39308765569,0.178146232014,0.465357792445,0.35160220895,0.460331027066,0.316769108574,0.508006364112,0.393001433134
46,Mobile structures,0.0556,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0724336722887,0.0445395018943,0.0923389193709,0.07199650209,0.124164245779,-0.21240691304,0.241923118909,0.151584705713,0.221203215966,-0.00790905661575,0.302395142509,0.20575474678
47,Other commercial,0.0262,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.106638892484,0.0676819915691,0.133064417403,0.0956359700564,0.405095096899,0.20215113728,0.473939003633,0.36129749641,0.471008093574,0.336725083058,0.515903049471,0.402077691065
48,Manufacturing,0.0314,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.109381625133,0.0702519253174,0.135840872398,0.0974949888627,0.420012274247,0.231337792437,0.484691177519,0.37347617328,0.484272509522,0.360988796626,0.525797519173,0.413478777726
49,Electric,0.0211,0.191678546268,0.462195691407,0.112363007028,0.180523415923,0.0971070330054,0.0549503880763,0.125242008494,0.0893265565362,0.346700253971,0.0172953842463,0.441082103027,0.316183944877,0.419083157127,0.18304913017,0.48566715383,0.359844571975
50,Wind and solar,0.0303,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0706589224184,0.0433286085539,0.0901958886378,0.0707684260046,0.102165758708,-0.246289733324,0.223911410407,0.136861776404,0.201642070053,-0.0360768285584,0.285820233477,0.191971854374
51,Gas,0.0237,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0720468740194,0.0439213485613,0.0922691707246,0.0717542595831,0.11946214373,-0.229470445896,0.24135006904,0.148720454183,0.217022087329,-0.0220944667437,0.301867805002,0.203073373405
52,Petroleum pipelines,0.0237,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0720468740194,0.0439213485613,0.0922691707246,0.0717542595831,0.11946214373,-0.229470445896,0.24135006904,0.148720454183,0.217022087329,-0.0220944667437,0.301867805002,0.203073373405
53,Communication,0.0237,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0701959441913,0.0430127233347,0.0896368371422,0.0704480583302,0.0962440817508,-0.255442478724,0.219071062392,0.132936592489,0.19637649035,-0.0436857714652,0.281366001497,0.188297287551
54,Petroleum and natural gas,0.0751,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0768911366561,0.0472710117242,0.0980669868958,0.0751030871865,0.17493741465,-0.142349148673,0.28620219489,0.186678793156,0.266350928241,0.0503319963115,0.343142063118,0.238608129499
55,Mining,0.045,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0740543213767,0.045309438549,0.0946717676983,0.0731420033176,0.143331559581,-0.191804659896,0.260603222039,0.164872019665,0.238246870871,0.00921819439774,0.319585128125,0.218193685712
56,Religious,0.0188,0.430216389422,0.542491003864,0.375450082998,0.423564890958,0.0868698460835,0.052226307501,0.111563094493,0.0821126213154,0.269712070872,-0.0339616676711,0.372552363144,0.256107861011,0.350624945508,0.140437655188,0.422604052161,0.303604255748
57,Educational and vocational,0.0188,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.102735772945,0.0640247781579,0.129113308372,0.0929904432936,0.382493573745,0.156576538746,0.457840551972,0.343126762871,0.450910725475,0.298837596506,0.5010887762,0.385067131546
58,Lodging,0.0281,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.107641044798,0.0686210058233,0.134078891343,0.0963152269279,0.410633739954,0.213068952398,0.477919310798,0.365801904262,0.475933077944,0.345801379653,0.519565846322,0.406294499247
59,Amusement and recreation,0.03,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0726406260547,0.0443319103887,0.0929797979985,0.0721647189975,0.126659509346,-0.218084209018,0.247148289125,0.153562372904,0.223422014676,-0.0126287575443,0.307203499306,0.207606142894
60,Air transportation,0.0237,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105320271018,0.0664464464977,0.131729583271,0.0947422110149,0.397646821579,0.18731545709,0.468608354616,0.355272239755,0.464385056278,0.324391751515,0.51099762795,0.396437137989
61,Other transportation,0.0237,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105320271018,0.0664464464977,0.131729583271,0.0947422110149,0.397646821579,0.18731545709,0.468608354616,0.355272239755,0.464385056278,0.324391751515,0.51099762795,0.396437137989
62,Other railroad,0.0176,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0814296818364,0.0486784912692,0.105120694814,0.0783510199857,0.220922904654,-0.109319508309,0.334098769766,0.220393895071,0.307241416618,0.0777904950231,0.387217913634,0.270170572842
63,Track replacement,0.0249,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0721599696452,0.0439995508141,0.0924045283006,0.0718324423287,0.120842202236,-0.227285256346,0.242461367561,0.149646990579,0.218249241074,-0.020277855246,0.302890454902,0.203940751844
64,Local transit structures,0.0237,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105320271018,0.0664464464977,0.131729583271,0.0947422110149,0.397646821579,0.18731545709,0.468608354616,0.355272239755,0.464385056278,0.324391751515,0.51099762795,0.396437137989
65,Other land transportation,0.0237,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0701959441913,0.0430127233347,0.0896368371422,0.0704480583302,0.0962440817508,-0.255442478724,0.219071062392,0.132936592489,0.19637649035,-0.0436857714652,0.281366001497,0.188297287551
66,Farm,0.0239,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0829106542238,0.0497889329717,0.106805059852,0.0793689884508,0.234838989103,-0.0845783746892,0.344600339191,0.230392944391,0.319615656608,0.0983585175062,0.396881769669,0.279531197896
67,Water supply,0.0225,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0825815492488,0.049542168149,0.106430756511,0.0791427732363,0.231789660317,-0.0899805563139,0.34229538251,0.22819316268,0.316904180808,0.0938675271247,0.394760680084,0.27747186894
68,Sewage and waste disposal,0.0225,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0825815492488,0.049542168149,0.106430756511,0.0791427732363,0.231789660317,-0.0899805563139,0.34229538251,0.22819316268,0.316904180808,0.0938675271247,0.394760680084,0.27747186894
69,Public safety,0.0237,0.0204526254025,0.0821665184473,0.00840893044542,0.018538760433,0.105320271018,0.0664464464977,0.131729583271,0.0947422110149,0.397646821579,0.18731545709,0.468608354616,0.355272239755,0.464385056278,0.324391751515,0.51099762795,0.396437137989
70,Highway and conservation and development,0.0225,0.640204603668,0.73755141548,0.583909226066,0.633720785601,0.0794559901755,0.0477496374386,0.10242452124,0.07696209863,0.201570581904,-0.130898639167,0.316569907749,0.206324481847,0.29003325099,0.0598511372114,0.371087334276,0.256999470502
71,Prepackaged software,0.55,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0912868314087,0.0575978745837,0.114879742665,0.0850281169061,0.305047628218,0.0624654053586,0.390667158752,0.281614885395,0.382045469607,0.220600279769,0.439273825008,0.327482694971
72,Custom software,0.33,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0816279595153,0.05109902799,0.10310628559,0.0783375881493,0.222815315038,-0.0567715693253,0.321088917139,0.220260223076,0.308924155777,0.121475121891,0.375245860912,0.270045435603
73,Own account software,0.33,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0816279595153,0.05109902799,0.10310628559,0.0783375881493,0.222815315038,-0.0567715693253,0.321088917139,0.220260223076,0.308924155777,0.121475121891,0.375245860912,0.270045435603
74,Pharmaceutical and medicine manufacturing,0.1,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0755482530888,0.0466645479145,0.0960998112505,0.0741517028089,0.160271781196,-0.157195395933,0.271590660906,0.176243684306,0.253310186168,0.0379898800553,0.329696095648,0.228839286661
75,"Chemical manufacturing, ex. pharma and med",0.16,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0797571460619,0.0495362317256,0.101182097574,0.0770641362129,0.20458538034,-0.0901111796125,0.30817801095,0.207375356294,0.292714022259,0.0937589361853,0.36336486164,0.257983248195
76,Semiconductor and other component manufacturing,0.25,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0860704855216,0.0538437574423,0.10880552706,0.0814327863189,0.262929683555,-0.00290177664231,0.356650329339,0.249897537963,0.344594018584,0.166258644105,0.407970528434,0.297790452491
77,Computers and peripheral equipment manufacturing,0.4,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0965927179544,0.0610229669701,0.121511242869,0.0887138698288,0.343221711289,0.115087274821,0.423921619537,0.311461289806,0.415990022551,0.26434636719,0.469875567332,0.35542345133
78,Communications equipment manufacturing ,0.27,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.087473449846,0.0548009853794,0.110499622501,0.0824035974535,0.274751366138,0.0146162587007,0.366513672937,0.258734625721,0.355105907752,0.180821895343,0.41704707011,0.306063305481
79,Navigational and other instruments manufacturing,0.29,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0888764141703,0.0557582133164,0.112193717942,0.0833744085882,0.286199824867,0.031532813048,0.37607914878,0.267365915481,0.365285924721,0.19488511797,0.425849505033,0.314143500365
80,"Other computer and electronic manufacturing, n.e.c.",0.4,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0965927179544,0.0610229669701,0.121511242869,0.0887138698288,0.343221711289,0.115087274821,0.423921619537,0.311461289806,0.415990022551,0.26434636719,0.469875567332,0.35542345133
81,Motor vehicles and parts manufacturing ,0.31,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0990296053985,0.0625791027156,0.124563232394,0.090407359639,0.35938349199,0.137092133688,0.438036420102,0.324358838128,0.43036114496,0.282639645051,0.482864425959,0.367497510582
82,Aerospace products and parts manufacturing,0.22,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0905474334666,0.0567139337533,0.114411414196,0.0845436537185,0.299372742316,0.0478530331742,0.388172932813,0.277498300326,0.376999337534,0.208452590651,0.436978564232,0.32362894767
83,Other manufacturing,0.16,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0848926521786,0.0528038211119,0.107643535397,0.0806345164382,0.252703286186,-0.0226532637782,0.349705490979,0.242471633657,0.335500663643,0.149838659567,0.401579681944,0.290838681011
84,Scientific research and development services,0.16,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.178636367165,0.137976574402,0.205200585363,0.144361415871,0.644865146964,0.608629216706,0.658870368833,0.576874934761,0.684212616224,0.674642108409,0.686082383368,0.603890834067
85,Software publishers,0.22,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.210684446214,0.168954299318,0.237418129371,0.166060492508,0.698886172472,0.680386943582,0.705161521635,0.632164564939,0.732248336087,0.734296389511,0.728680876817,0.655650304479
86,Financial and real estate services,0.16,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.178636367165,0.137976574402,0.205200585363,0.144361415871,0.644865146964,0.608629216706,0.658870368833,0.576874934761,0.684212616224,0.674642108409,0.686082383368,0.603890834067
87,Computer systems design and related services,0.36,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.285463297327,0.241235657455,0.312592398722,0.21669167133,0.777764775388,0.776152495159,0.776066211827,0.71811130011,0.802387516846,0.813909072108,0.793929478285,0.736109469818
88,"All other nonmanufacturing, n.e.c.",0.16,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.178636367165,0.137976574402,0.205200585363,0.144361415871,0.644865146964,0.608629216706,0.658870368833,0.576874934761,0.684212616224,0.674642108409,0.686082383368,0.603890834067
89,Private universities and colleges,0.16,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.178636367165,0.137976574402,0.205200585363,0.144361415871,0.644865146964,0.608629216706,0.658870368833,0.576874934761,0.684212616224,0.674642108409,0.686082383368,0.603890834067
90,Other nonprofit institutions,0.16,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.178636367165,0.137976574402,0.205200585363,0.144361415871,0.644865146964,0.608629216706,0.658870368833,0.576874934761,0.684212616224,0.674642108409,0.686082383368,0.603890834067
91,Theatrical movies,0.093,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.142849345561,0.103384781579,0.169224327888,0.120130780292,0.555895760313,0.477679411079,0.586347891738,0.491529703212,0.60510066873,0.565779734206,0.619345046349,0.523994767248
92,Long-lived television programs,0.168,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.182909444372,0.142106937724,0.209496257897,0.147254626089,0.653161704045,0.620004477862,0.66586515338,0.585188356179,0.691589949179,0.684098693172,0.692519191821,0.611673456026
93,Books,0.121,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.157805115783,0.117841053207,0.184259181758,0.130257016056,0.597985149689,0.5417556231,0.620100342723,0.531058400094,0.642526728274,0.619048149055,0.650405054043,0.56099961626
94,Music,0.267,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.235788774802,0.193220183836,0.26265520551,0.183058102541,0.730945631092,0.720526091384,0.733490909255,0.666319421756,0.760755739616,0.767665228108,0.754750420562,0.687624425035
95,Other entertainment originals,0.109,0.00803564849314,0.0411656573635,0.00279030452342,0.00715211139023,0.151395499974,0.111645508224,0.177815672956,0.125917200728,0.580965088057,0.516326264628,0.606333914012,0.514896033625,0.627392418903,0.597907985277,0.637736777542,0.545869192592
