"Page: 121  March 10, 2016"
""
"L.216 Other Loans and Advances"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"All sectors; other loans and advances; liability","2765.7","2732.1","2880.0","3088.5","3343.4","3249.4","3343.4","3313.2","3345.1","3240.9","3249.4","1"
"Federal government; U.S. government loans; asset","178.5","183.3","185.7","193.0","195.5","196.4","195.5","196.1","199.0","195.7","196.4","2"
"Households and nonprofit organizations; U.S. government loans; liability","11.6","11.2","11.0","12.1","13.3","15.6","13.3","13.6","14.2","14.8","15.6","3"
"Nonfinancial corporate business; U.S. government loans, including loans to automakers; liability","70.6","70.1","75.3","76.2","74.7","75.3","74.7","74.4","76.1","74.8","75.3","4"
"Nonfinancial noncorporate business; U.S. government loans; liability","53.0","55.9","56.5","58.5","57.3","54.1","57.3","57.1","56.4","54.3","54.1","5"
"State and local governments, excluding employee retirement funds; U.S. government loans; liability","14.4","15.3","15.7","16.2","16.6","16.9","16.6","16.7","16.7","16.7","16.9","6"
"Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7"
"Federal government; loans to finance companies (Chrysler Financial); asset","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8"
"Funding corporations; U.S. government loans to TALF LLC and loans made under PPIP; liability","9.2","9.8","3.0","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4","9"
"Rest of the world; U.S. government loans excluding capital subscriptions and contributions to international financial institutions and the IMF; liability","19.6","21.0","24.2","27.6","31.2","32.2","31.2","32.0","33.2","32.8","32.2","10"
"Rest of the world; U.S. nonfinancial business loans; asset","162.3","196.1","143.9","139.7","190.2","203.5","190.2","192.4","201.6","205.2","203.5","11"
"Rest of the world; U.S. nonfinancial business loans; asset","162.3","196.1","143.9","139.7","190.2","203.5","190.2","192.4","201.6","205.2","203.5","12"
"U.S.-chartered depository institutions; customers' liability on acceptances; asset","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13"
"Foreign banking offices in the U.S.; customers' liability on acceptances; asset","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14"
"Nonfinancial corporate business; customers' liability on acceptances outstanding to commercial banking; liability","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15"
"Rest of the world; customers' liablity on acceptances outstanding to commercial banking; liability","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16"
"Holding companies; other loans and advances; asset","18.9","22.9","105.3","75.7","64.8","24.0","64.8","62.3","55.1","37.7","24.0","17"
"Holding companies; other loans and advances due from U.S. addressees; asset","18.9","22.9","99.3","71.7","61.6","23.1","61.6","59.3","52.6","35.3","23.1","18"
"Holding companies; other loans and advances due from foreign addressees; asset","0.0","0.0","6.1","4.0","3.2","0.9","3.2","3.0","2.5","2.4","0.9","19"
"Households and nonprofit organizations; policy loans; liability","124.5","126.9","128.3","129.2","130.8","134.4","130.8","131.1","131.5","132.3","134.4","20"
"Federal government; policy loans; asset","0.5","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","21"
"Life insurance companies; policy loans; asset","124.0","126.5","127.8","128.8","130.5","134.1","130.5","130.8","131.2","132.0","134.1","22"
"Government-sponsored enterprises; FHLB advances; asset","464.0","403.3","413.6","492.6","565.7","631.2","565.7","536.6","588.2","586.2","631.2","23"
"U.S.-chartered depository institutions; FHLB advances (residual); liability","392.8","331.9","336.6","410.0","468.2","498.5","468.2","435.9","478.1","460.2","498.5","24"
"Credit unions; FHLB advances; liability","26.1","24.3","25.2","27.1","35.5","44.8","35.5","35.0","40.0","44.9","44.8","25"
"Property-casualty insurance companies; FHLB advances; liability","0.8","0.9","1.3","2.1","2.2","2.6","2.2","2.2","2.4","2.4","2.6","26"
"Life insurance companies, general accounts; FHLB advances; liability","43.4","44.9","48.2","50.1","51.9","57.9","51.9","54.1","55.9","57.0","57.9","27"
"Finance companies; FHLB advances; liability","0.9","1.3","2.1","2.3","2.1","3.7","2.1","2.1","2.1","2.9","3.7","28"
"Mortgage real estate investment trusts; FHLB advances; liability","0.0","0.0","0.3","1.0","5.9","23.8","5.9","7.2","9.7","18.9","23.8","29"
"Government-sponsored enterprises; Farm Credit System and Sallie Mae loans and advances; asset","87.3","83.8","92.1","95.0","106.1","116.0","106.1","105.0","106.6","110.3","116.0","30"
"Households and nonprofit organizations; Sallie Mae loans; liability","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","31"
"Corporate farm business; Farm Credit System loans; liability","6.8","5.9","6.7","6.9","8.5","9.3","8.5","9.1","8.7","9.0","9.3","32"
"Nonfinancial noncorporate business; Farm Credit System loans; liability","80.5","77.8","85.3","88.0","97.6","106.8","97.6","95.9","97.8","101.3","106.8","33"
"U.S.-chartered depository institutions; Sallie Mae warehousing advances; liability","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","34"
"Issuers of asset-backed securities; securitized nonfinancial business loans; asset","4.0","0.1","1.8","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35"
"Issuers of asset-backed securities; securitized nonfinancial business loans; asset","4.0","0.1","1.8","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36"
"Finance companies; nonfinancial business loans; asset","372.7","375.8","387.0","401.3","411.4","423.5","411.4","412.3","416.1","421.9","423.5","37"
"Nonfinancial corporate business; finance companies loans; liability","335.5","338.2","348.3","361.2","370.3","381.2","370.3","371.1","374.5","379.7","381.2","38"
"Nonfinancial noncorporate business; finance companies loans; liability","37.3","37.6","38.7","40.1","41.1","42.4","41.1","41.2","41.6","42.2","42.4","39"
"Security brokers and dealers; margin accounts at brokers and dealers; asset","278.2","238.9","303.7","339.2","369.5","289.4","369.5","354.3","364.4","289.4","289.4","40"
"Security brokers and dealers; margin accounts at brokers and dealers; asset","278.2","238.9","303.7","339.2","369.5","289.4","369.5","354.3","364.4","289.4","289.4","41"
"Households and nonprofit organizations; cash accounts at brokers and dealers","725.2","726.1","757.0","815.5","869.0","820.6","869.0","870.5","843.6","844.6","820.6","42"
"Households and nonprofit organizations; cash accounts at brokers and dealers","725.2","726.1","757.0","815.5","869.0","820.6","869.0","870.5","843.6","844.6","820.6","43"
"Nonfinancial corporate business; syndicated loans; liability","350.2","375.1","361.6","405.4","440.2","410.4","440.2","452.5","439.1","417.5","410.4","44"
"Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset","26.2","23.4","20.9","25.9","24.3","22.0","24.3","25.1","24.2","21.6","22.0","45"
"Life insurance companies, general accounts; syndicated loans to nonfinancial corporate business; asset","16.7","22.2","22.6","25.1","31.4","29.6","31.4","32.1","30.1","29.9","29.6","46"
"Mutual funds; syndicated loans to nonfinancial corporate business; asset","74.6","93.5","105.7","145.1","154.5","138.9","154.5","160.4","154.4","141.6","138.9","47"
"Issuers of asset-backed securities; syndicated loans to nonfinancial corporate business; asset","163.8","162.3","160.0","148.3","159.3","158.3","159.3","170.6","167.0","159.2","158.3","48"
"Security brokers and dealers; syndicated loans to nonfinancial corporate business; asset","47.4","54.3","39.6","50.4","58.6","48.7","58.6","52.6","51.2","51.8","48.7","49"
"Funding corporations; syndicated loans to nonfinancial corporate business; asset","21.4","19.4","12.9","10.6","12.1","12.9","12.1","11.6","12.2","13.1","12.9","50"
